1 -0.3 0.96 -2.1 -0.3 1 0 Not-Rnd
2 -0.9 0.95 -4.2 -1 1 0 Not-Rnd
3 -6.3 0.3 -15.2 -12.2 1 0 Not-Rnd
4 -10 0.2 -29.2 -25.6 1 0 Not-Rnd
5 -1.7 0.9 -3.9 -1.9 1 0 Not-Rnd
6 -6.3 0.99 -15.7 -6.4 1 0 Not-Rnd
7 -5.6 0.7 -20.2 -11.7 1 0 Not-Rnd
8 -0.7 0.1 -6.5 -6 1 0 Not-Rnd
9 -5.7 0.95 -16.3 -6.1 1 0 Not-Rnd
10 -1.5 0.92 -6.4 -1.8 1 0 Not-Rnd
11 -1.2 0.02 -12.3 -12.1 1 0 Not-Rnd
12 -5.4 0.94 -16.8 -6.4 1 0 Not-Rnd
13 -2 0.05 -10.4 -9.4 1 0 Not-Rnd
14 -8.8 0.6 -19.5 -15.5 1 0 Not-Rnd
15 -8.9 0.08 -26.3 -25.4 1 0 Not-Rnd
16 -7.1 0.07 -19.6 -18.7 1 0 Not-Rnd
17 -9.7 0.1 -24.7 -23.8 1 0 Not-Rnd
18 -4 0.2 -9.3 -8.1 1 0 Not-Rnd
19 -6.5 0.9 -17.5 -8.4 1 0 Not-Rnd
20 -4.3 0.6 -16.1 -4.5 1 0 Not-Rnd
21 2 0.1 -5.7 -4.6 1 0 Not-Rnd
22 9.6 0.91 -6.4 8.7 1 0 Not-Rnd
23 7.3 0.8 -3.6 5.6 1 0 Not-Rnd
24 9.2 0.05 -9.5 -7.5 1 0 Not-Rnd
25 7.4 0.02 -6.6 -6.4 1 0 Not-Rnd
26 6.4 0.05 -5.3 -4.9 1 0 Not-Rnd
27 1.6 0.93 -8.3 1.2 1 0 Not-Rnd
28 5.9 0.8 -0.8 4.6 1 0 Not-Rnd
29 7.9 0.92 -2.3 7 1 0 Not-Rnd
30 3 0.91 -7.7 1.4 1 0 Not-Rnd
31 6.7 0.95 -1.8 6.4 1 0 Not-Rnd
32 6.7 0.93 -5 5.6 1 0 Not-Rnd
33 7.3 0.96 -8.5 6.8 1 0 Not-Rnd
34 1.3 0.05 -4.3 -4.1 1 0 Not-Rnd
35 3 0.93 -7.2 2.2 1 0 Not-Rnd
36 5 0.08 -9.1 -7.9 1 0 Not-Rnd
37 2.1 0.8 -8.4 1.3 1 0 Not-Rnd
38 6.7 0.07 -6.2 -5.1 1 0 Not-Rnd
39 7.4 0.3 -8.2 -6.9 1 0 Not-Rnd
40 6 0.98 -1.3 5.9 1 0 Not-Rnd
41 18.8 0.8 7.6 15.5 1 0 Not-Rnd
42 17.9 0.92 7.2 17.1 1 0 Not-Rnd
43 22.9 0.06 9.6 9.2 1 0 Not-Rnd
44 10 0.96 1.7 9.9 1 0 Not-Rnd
45 2.8 0.8 1 2.2 1 0 Not-Rnd
46 17.1 0.1 6.9 8 1 0 Not-Rnd
47 24.3 0.04 9.7 10.6 1 0 Not-Rnd
48 18.2 0.98 6.9 18.1 1 0 Not-Rnd
49 13.4 0.5 3.8 9.9 1 0 Not-Rnd
50 5.8 0.04 2.7 2.8 1 0 Not-Rnd
51 13.1 0.94 3.8 12.8 1 0 Not-Rnd
52 3.5 0.09 0.1 0.5 1 0 Not-Rnd
53 25.7 0.1 8.1 11.5 1 0 Not-Rnd
54 16.5 0.01 6.9 7 1 0 Not-Rnd
55 11.4 0.97 1.9 11 1 0 Not-Rnd
56 26.5 0.94 8.3 25.2 1 0 Not-Rnd
57 11.5 0.6 3.7 7.9 1 0 Not-Rnd
58 20.8 0.99 8.9 20.7 1 0 Not-Rnd
59 10.1 0.3 4.2 6 1 0 Not-Rnd
60 8 0.92 0.8 7.7 1 0 Not-Rnd
