1 -8.7 0.06 -22.8 -21.4 1 0 Not-Rnd
2 -2.2 0.09 -9.6 -8.7 1 0 Not-Rnd
3 -2 0.1 -11.2 -9.5 1 0 Not-Rnd
4 -1.4 0.02 -9.1 -9 1 0 Not-Rnd
5 -0.9 0.07 -4.8 -4.7 1 0 Not-Rnd
6 -4.7 0.91 -18.1 -6.8 1 0 Not-Rnd
7 -9.7 0.06 -24.8 -24.2 1 0 Not-Rnd
8 -5.7 0.96 -20.6 -6.4 1 0 Not-Rnd
9 -5.6 0.1 -19.4 -18.1 1 0 Not-Rnd
10 -2.5 0.6 -5.5 -3.6 1 0 Not-Rnd
11 -5.8 0.97 -16.4 -6.6 1 0 Not-Rnd
12 -7.2 0.05 -16.1 -15.6 1 0 Not-Rnd
13 -1.8 0.93 -6.7 -2 1 0 Not-Rnd
14 -6.4 0.2 -22.4 -18 1 0 Not-Rnd
15 -3.3 0.97 -10.5 -3.2 1 0 Not-Rnd
16 -9.5 0.1 -24.5 -23.5 1 0 Not-Rnd
17 -2.2 0.92 -11.5 -3.4 1 0 Not-Rnd
18 -1.4 0.93 -4.7 -1.7 1 0 Not-Rnd
19 -8.6 0.1 -26.5 -26.3 1 0 Not-Rnd
20 -6.9 0.06 -20.5 -20.3 1 0 Not-Rnd
21 1.8 0.6 -4.1 1.7 1 0 Not-Rnd
22 9 0.97 -6.7 9.1 1 0 Not-Rnd
23 5.5 0.06 -3.4 -2.6 1 0 Not-Rnd
24 1 0.93 -7.1 0.6 1 0 Not-Rnd
25 3 0.2 -1.3 -0.1 1 0 Not-Rnd
26 8.9 0.1 -1.4 -0.9 1 0 Not-Rnd
27 9.4 0.95 -6.3 8.5 1 0 Not-Rnd
28 3.3 0.91 -3.5 2.7 1 0 Not-Rnd
29 5 0.4 -6.9 -3.8 1 0 Not-Rnd
30 2.1 0.06 -9.4 -8.4 1 0 Not-Rnd
31 0.9 0.2 -5 -5.3 1 0 Not-Rnd
32 9.9 0.05 -8.7 -7.6 1 0 Not-Rnd
33 7.7 0.02 -3.1 -3 1 0 Not-Rnd
34 2.5 0.96 -2 2.3 1 0 Not-Rnd
35 9.2 0.91 -0.7 8.2 1 0 Not-Rnd
36 2.9 0.98 -9.4 2.9 1 0 Not-Rnd
37 2.9 0.05 -6.5 -5.7 1 0 Not-Rnd
38 7.8 0.99 -9.3 7.6 1 0 Not-Rnd
39 6.5 0.8 -4.8 6.2 1 0 Not-Rnd
40 5 0.9 -3.8 4.1 1 0 Not-Rnd
41 20.1 0.95 6.5 19.6 1 0 Not-Rnd
42 5.2 0.5 1.4 5.1 1 0 Not-Rnd
43 12 0.5 2.4 9 1 0 Not-Rnd
44 20.7 0.9 9.1 19.8 1 0 Not-Rnd
45 8.4 0.07 1.2 1.6 1 0 Not-Rnd
46 22.6 0.4 7.2 12.4 1 0 Not-Rnd
47 23.4 0.93 7.6 22.1 1 0 Not-Rnd
48 17.2 0.09 5 5.9 1 0 Not-Rnd
49 18.9 0.9 6.7 17.7 1 0 Not-Rnd
50 12.8 0.04 4.7 4.9 1 0 Not-Rnd
51 19.1 0.03 4.8 5.2 1 0 Not-Rnd
52 12.3 0.91 1.3 12.1 1 0 Not-Rnd
53 6.8 0.9 3 6.7 1 0 Not-Rnd
54 22.6 0.3 9.2 11 1 0 Not-Rnd
55 6.4 0.09 0.5 1.5 1 0 Not-Rnd
56 15.3 0.06 5.9 7.1 1 0 Not-Rnd
57 5.3 0.9 1.5 4.7 1 0 Not-Rnd
58 21.9 0.5 8.1 12.6 1 0 Not-Rnd
59 27.5 0.7 9.2 21.9 1 0 Not-Rnd
60 4.4 0.2 0.7 1.1 1 0 Not-Rnd
